"Time","rabbit@rabbitmq-77d46f474f-ng7cg"
2025-03-28 23:37:26,4.4459 GiB
2025-03-28 23:37:27,4.4459 GiB
2025-03-28 23:37:28,4.4459 GiB
2025-03-28 23:37:29,4.4463 GiB
2025-03-28 23:37:30,4.4463 GiB
2025-03-28 23:37:31,4.4463 GiB
2025-03-28 23:37:32,4.4463 GiB
2025-03-28 23:37:33,4.4463 GiB
2025-03-28 23:37:34,4.4474 GiB
2025-03-28 23:37:35,4.4474 GiB
2025-03-28 23:37:36,4.4474 GiB
2025-03-28 23:37:37,4.4474 GiB
2025-03-28 23:37:38,4.4474 GiB
2025-03-28 23:37:39,4.4467 GiB
2025-03-28 23:37:40,4.4467 GiB
2025-03-28 23:37:41,4.4467 GiB
2025-03-28 23:37:42,4.4467 GiB
2025-03-28 23:37:43,4.4467 GiB
2025-03-28 23:37:44,4.4476 GiB
2025-03-28 23:37:45,4.4476 GiB
2025-03-28 23:37:46,4.4476 GiB
2025-03-28 23:37:47,4.4476 GiB
2025-03-28 23:37:48,4.4476 GiB
2025-03-28 23:37:49,4.4474 GiB
2025-03-28 23:37:50,4.4474 GiB
2025-03-28 23:37:51,4.4474 GiB
2025-03-28 23:37:52,4.4474 GiB
2025-03-28 23:37:53,4.4474 GiB
2025-03-28 23:37:54,4.4472 GiB
2025-03-28 23:37:55,4.4472 GiB
2025-03-28 23:37:56,4.4472 GiB
2025-03-28 23:37:57,4.4472 GiB
2025-03-28 23:37:58,4.4472 GiB
2025-03-28 23:37:59,4.4472 GiB
2025-03-28 23:38:00,4.4472 GiB
